Date : 2020-04-29 07:38:19
Directory : e:\DATA\document\VsCode\geofs_app
Total : 299 files,  937723 codes, 520162 comments, 172076 blanks, all 1629961 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        163 |    907,361 |    519,862 |    169,809 |  1,597,032 |
| JSON       |         60 |     13,036 |          0 |          1 |     13,037 |
| CSS        |         31 |      9,423 |         62 |      1,758 |     11,243 |
| HTML       |         15 |      4,696 |        189 |        246 |      5,131 |
| Vue        |         15 |      1,350 |         36 |         89 |      1,475 |
| PHP        |          1 |        998 |          4 |        140 |      1,142 |
| XML        |         12 |        833 |          9 |         21 |        863 |
| Markdown   |          1 |         18 |          0 |         10 |         28 |
| Properties |          1 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        299 |    937,723 |    520,162 |    172,076 |  1,629,961 |
| static                                                                               |        232 |    904,870 |    519,722 |    171,660 |  1,596,252 |
| static\js                                                                            |        128 |    628,437 |    425,806 |    133,388 |  1,187,631 |
| static\js\CesiumUnminified                                                           |        119 |    613,117 |    425,727 |    133,165 |  1,172,009 |
| static\js\CesiumUnminified\Workers                                                   |         46 |    607,537 |    424,492 |    132,220 |  1,164,249 |
| static\Build                                                                         |         84 |    184,267 |     93,704 |     36,132 |    314,103 |
| static\origin                                                                        |         13 |     25,142 |         77 |        325 |     25,544 |
| static\origin\GeoFS - Free Multiplayer Flight Simulator_files                        |         12 |     24,065 |         23 |        178 |     24,266 |
| src                                                                                  |         46 |     17,190 |        196 |        239 |     17,625 |
| src\lib                                                                              |         28 |     15,771 |        156 |        146 |     16,073 |
| static\css                                                                           |          3 |      7,903 |         42 |      1,466 |      9,411 |
| static\Build\Workers                                                                 |         48 |      6,658 |     13,947 |      1,494 |     22,099 |
| src\lib\utils                                                                        |          5 |      5,731 |          8 |         34 |      5,773 |
| src\lib\modules                                                                      |         10 |      4,719 |         89 |         38 |      4,846 |
| src\lib\aircraft                                                                     |          8 |      3,710 |         48 |         24 |      3,782 |
| static\js\CesiumUnminified\ThirdParty                                                |          5 |      3,150 |        742 |        615 |      4,507 |
| static\Build\ThirdParty                                                              |          5 |      3,150 |        742 |        615 |      4,507 |
| static\js\CesiumUnminified\ThirdParty\Workers                                        |          4 |      3,149 |        742 |        615 |      4,506 |
| static\Build\ThirdParty\Workers                                                      |          4 |      3,149 |        742 |        615 |      4,506 |
| static\js\CesiumUnminified\Widgets                                                   |         36 |      2,307 |         28 |        309 |      2,644 |
| src\Components                                                                       |         13 |      1,312 |         36 |         78 |      1,426 |
| src\lib\lib                                                                          |          1 |        935 |          2 |         36 |        973 |
| static\js\CesiumUnminified\Widgets\Images\NavigationHelp                             |          9 |        817 |          9 |         20 |        846 |
| static\js\CesiumUnminified\Widgets\Images                                            |          9 |        817 |          9 |         20 |        846 |
| build                                                                                |          7 |        470 |         52 |         52 |        574 |
| src\Components\Setting                                                               |          5 |        469 |          2 |         26 |        497 |
| server                                                                               |          3 |        319 |         91 |         35 |        445 |
| src\lib\ui                                                                           |          3 |        264 |          3 |          4 |        271 |
| static\js\CesiumUnminified\Widgets\Animation                                         |          2 |        195 |         18 |         56 |        269 |
| static\js\CesiumUnminified\Widgets\InfoBox                                           |          2 |        162 |          0 |         28 |        190 |
| static\js\CesiumUnminified\Widgets\NavigationHelpButton                              |          2 |        129 |          0 |         31 |        160 |
| static\js\CesiumUnminified\Widgets\BaseLayerPicker                                   |          2 |        124 |          0 |         21 |        145 |
| static\js\CesiumUnminified\Widgets\CesiumInspector                                   |          1 |        110 |          0 |         21 |        131 |
| static\js\CesiumUnminified\Widgets\Timeline                                          |          2 |        108 |          1 |         16 |        125 |
| static\js\CesiumUnminified\Widgets\Viewer                                            |          1 |         97 |          0 |         12 |        109 |
| static\js\CesiumUnminified\Widgets\Cesium3DTilesInspector                            |          1 |         95 |          0 |         20 |        115 |
| static\js\CesiumUnminified\Widgets\Geocoder                                          |          2 |         85 |          0 |         14 |         99 |
| static\js\CesiumUnminified\Widgets\CesiumWidget                                      |          2 |         76 |          0 |         13 |         89 |
| static\js\CesiumUnminified\Widgets\SceneModePicker                                   |          1 |         55 |          0 |         14 |         69 |
| static\js\CesiumUnminified\Assets                                                    |         31 |         44 |          0 |          1 |         45 |
| config                                                                               |          3 |         41 |         30 |         18 |         89 |
| static\js\CesiumUnminified\Widgets\ProjectionPicker                                  |          1 |         37 |          0 |          9 |         46 |
| static\Build\Assets                                                                  |         30 |         30 |          0 |          0 |         30 |
| src\assets                                                                           |          1 |         30 |          1 |          3 |         34 |
| src\assets\css                                                                       |          1 |         30 |          1 |          3 |         34 |
| static\Build\Assets\IAU2006_XYS                                                      |         28 |         28 |          0 |          0 |         28 |
| static\js\CesiumUnminified\Assets\IAU2006_XYS                                        |         28 |         28 |          0 |          0 |         28 |
| src\store                                                                            |          1 |         24 |          0 |          1 |         25 |
| static\js\CesiumUnminified\Widgets\SelectionIndicator                                |          1 |         19 |          0 |          3 |         22 |
| static\js\CesiumUnminified\Assets\Textures                                           |          2 |         15 |          0 |          1 |         16 |
| static\js\CesiumUnminified\Assets\Textures\NaturalEarthII                            |          1 |         14 |          0 |          1 |         15 |
| static\js\CesiumUnminified\Widgets\PerformanceWatchdog                               |          1 |         14 |          0 |          3 |         17 |
| static\js\CesiumUnminified\Widgets\VRButton                                          |          1 |          7 |          0 |          1 |          8 |
